date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-08-10T00:00:00Z,83,0,0,4,TRUE,60266
2017-08-11T00:00:00Z,82,0,0,5,TRUE,55893
2017-08-12T00:00:00Z,77,0.11,0,6,FALSE,44820
2017-08-13T00:00:00Z,83,0,0,0,FALSE,43628
2017-08-14T00:00:00Z,80,0,0,1,TRUE,55171
2017-08-15T00:00:00Z,74,0.45,0,2,TRUE,49065
2017-08-16T00:00:00Z,87,0,0,3,TRUE,62351
2017-08-17T00:00:00Z,83,0,0,4,TRUE,60316
2017-08-18T00:00:00Z,82,0.88,0,5,TRUE,33817
2017-08-19T00:00:00Z,86,0,0,6,FALSE,46367
2017-08-20T00:00:00Z,81,0,0,0,FALSE,43371
2017-08-21T00:00:00Z,87,0,0,1,TRUE,54857
2017-08-22T00:00:00Z,89,0.3,0,2,TRUE,55350
2017-08-23T00:00:00Z,81,0,0,3,TRUE,59766
2017-08-24T00:00:00Z,80,0,0,4,TRUE,60178
2017-08-25T00:00:00Z,78,0,0,5,TRUE,56763
2017-08-26T00:00:00Z,78,0,0,6,FALSE,40848
2017-08-27T00:00:00Z,78,0,0,0,FALSE,43045
2017-08-28T00:00:00Z,76,0,0,1,TRUE,55262
2017-08-29T00:00:00Z,68,0.29,0,2,TRUE,33383
2017-08-30T00:00:00Z,78,0.01,0,3,TRUE,59978
2017-08-31T00:00:00Z,81,0,0,4,TRUE,59173
2017-09-01T00:00:00Z,71,0,0,5,TRUE,49901
2017-09-02T00:00:00Z,68,0.53,0,6,FALSE,28611
2017-09-03T00:00:00Z,69,0.74,0,0,FALSE,23822
2017-09-04T00:00:00Z,80,0,0,1,TRUE,40658
2017-09-05T00:00:00Z,85,0,0,2,TRUE,59910
2017-09-06T00:00:00Z,72,0.42,0,3,TRUE,40485
2017-09-07T00:00:00Z,71,0.01,0,4,TRUE,64558
2017-09-08T00:00:00Z,71,0,0,5,TRUE,63478
2017-09-09T00:00:00Z,70,0,0,6,FALSE,49208
2017-09-10T00:00:00Z,72,0,0,0,FALSE,49238
2017-09-11T00:00:00Z,76,0,0,1,TRUE,65251
2017-09-12T00:00:00Z,78,0,0,2,TRUE,68894
2017-09-13T00:00:00Z,83,0.06,0,3,TRUE,64500
2017-09-14T00:00:00Z,81,0.02,0,4,TRUE,66985
2017-09-15T00:00:00Z,81,0,0,5,TRUE,65839
2017-09-16T00:00:00Z,82,0,0,6,FALSE,49828
2017-09-17T00:00:00Z,81,0,0,0,FALSE,48857
2017-09-18T00:00:00Z,73,0,0,1,TRUE,59173
2017-09-19T00:00:00Z,78,0.22,0,2,TRUE,54890
2017-09-20T00:00:00Z,79,0,0,3,TRUE,66665
2017-09-21T00:00:00Z,80,0,0,4,TRUE,62525
2017-09-22T00:00:00Z,82,0,0,5,TRUE,63535
2017-09-23T00:00:00Z,87,0,0,6,FALSE,50758
2017-09-24T00:00:00Z,91,0,0,0,FALSE,47105
